series_id                     	year	period	       value	
LAUCN280310000000005          	2012	M06	        7768	
LAUCN280310000000005          	2013	M06	        7466	
LAUCN280310000000005          	2014	M06	        7526	
LAUCN280310000000005          	2015	M06	        7598	
LAUCN280310000000006          	2010	M06	        8463	
LAUCN280310000000006          	2011	M06	        8747	
LAUCN280310000000006          	2012	M06	        8570	
LAUCN280310000000006          	2013	M06	        8179	
LAUCN280310000000006          	2014	M06	        8112	
LAUCN280310000000006          	2015	M06	        8137	
LAUCN280330000000003          	2010	M06	         7.6	
LAUCN280330000000003          	2011	M06	         7.7	
LAUCN280330000000003          	2012	M06	         7.1	
LAUCN280330000000003          	2013	M06	         6.7	
LAUCN280330000000003          	2014	M06	         6.1	
LAUCN280330000000003          	2015	M06	         5.4	
LAUCN280330000000004          	2010	M06	        6136	
LAUCN280330000000004          	2011	M06	        6463	
LAUCN280330000000004          	2012	M06	        6032	
LAUCN280330000000004          	2013	M06	        5489	
LAUCN280330000000004          	2014	M06	        5037	
LAUCN280330000000004          	2015	M06	        4620	
LAUCN280330000000005          	2010	M06	       74413	
LAUCN280330000000005          	2011	M06	       77414	
LAUCN280330000000005          	2012	M06	       78356	
LAUCN280330000000005          	2013	M06	       77028	
LAUCN280330000000005          	2014	M06	       77525	
LAUCN280330000000005          	2015	M06	       80585	
LAUCN280330000000006          	2010	M06	       80549	
LAUCN280330000000006          	2011	M06	       83877	
LAUCN280330000000006          	2012	M06	       84388	
LAUCN280330000000006          	2013	M06	       82517	
LAUCN280330000000006          	2014	M06	       82562	
LAUCN280330000000006          	2015	M06	       85205	
LAUCN280350000000003          	2010	M06	        10.3	
LAUCN280350000000003          	2011	M06	        11.4	
LAUCN280350000000003          	2012	M06	        10.1	
LAUCN280350000000003          	2013	M06	         9.6	
LAUCN280350000000003          	2014	M06	         8.5	
LAUCN280350000000003          	2015	M06	         7.3	
LAUCN280350000000004          	2010	M06	        3544	
LAUCN280350000000004          	2011	M06	        4011	
LAUCN280350000000004          	2012	M06	        3525	
LAUCN280350000000004          	2013	M06	        3232	
LAUCN280350000000004          	2014	M06	        2780	
LAUCN280350000000004          	2015	M06	        2411	
LAUCN280350000000005          	2010	M06	       30730	
LAUCN280350000000005          	2011	M06	       31064	
LAUCN280350000000005          	2012	M06	       31307	
LAUCN280350000000005          	2013	M06	       30295	
LAUCN280350000000005          	2014	M06	       29793	
LAUCN280350000000005          	2015	M06	       30593	
LAUCN280350000000006          	2010	M06	       34274	
LAUCN280350000000006          	2011	M06	       35075	
LAUCN280350000000006          	2012	M06	       34832	
LAUCN280350000000006          	2013	M06	       33527	
LAUCN280350000000006          	2014	M06	       32573	
LAUCN280350000000006          	2015	M06	       33004	
LAUCN280370000000003          	2010	M06	        12.0	
LAUCN280370000000003          	2011	M06	        11.8	
LAUCN280370000000003          	2012	M06	        10.8	
LAUCN280370000000003          	2013	M06	        10.4	
LAUCN280370000000003          	2014	M06	         9.7	
LAUCN280370000000003          	2015	M06	         8.8	
LAUCN280370000000004          	2010	M06	         384	
LAUCN280370000000004          	2011	M06	         380	
LAUCN280370000000004          	2012	M06	         335	
LAUCN280370000000004          	2013	M06	         307	
LAUCN280370000000004          	2014	M06	         286	
LAUCN280370000000004          	2015	M06	         263	
LAUCN280370000000005          	2010	M06	        2809	
LAUCN280370000000005          	2011	M06	        2837	
LAUCN280370000000005          	2012	M06	        2761	
LAUCN280370000000005          	2013	M06	        2655	
LAUCN280370000000005          	2014	M06	        2651	
LAUCN280370000000005          	2015	M06	        2723	
LAUCN280370000000006          	2010	M06	        3193	
LAUCN280370000000006          	2011	M06	        3217	
LAUCN280370000000006          	2012	M06	        3096	
LAUCN280370000000006          	2013	M06	        2962	
LAUCN280370000000006          	2014	M06	        2937	
LAUCN280370000000006          	2015	M06	        2986	
LAUCN280390000000003          	2010	M06	        11.9	
LAUCN280390000000003          	2011	M06	        13.7	
LAUCN280390000000003          	2012	M06	        11.0	
LAUCN280390000000003          	2013	M06	        10.8	
LAUCN280390000000003          	2014	M06	         9.2	
LAUCN280390000000003          	2015	M06	         8.5	
LAUCN280390000000004          	2010	M06	        1038	
LAUCN280390000000004          	2011	M06	        1242	
LAUCN280390000000004          	2012	M06	         979	
LAUCN280390000000004          	2013	M06	         930	
LAUCN280390000000004          	2014	M06	         858	
LAUCN280390000000004          	2015	M06	         772	
LAUCN280390000000005          	2010	M06	        7664	
LAUCN280390000000005          	2011	M06	        7832	
LAUCN280390000000005          	2012	M06	        7918	
LAUCN280390000000005          	2013	M06	        7713	
LAUCN280390000000005          	2014	M06	        8518	
LAUCN280390000000005          	2015	M06	        8299	
LAUCN280390000000006          	2010	M06	        8702	
LAUCN280390000000006          	2011	M06	        9074	
LAUCN280390000000006          	2012	M06	        8897	
LAUCN280390000000006          	2013	M06	        8643	
LAUCN280390000000006          	2014	M06	        9376	
LAUCN280390000000006          	2015	M06	        9071	
LAUCN280410000000003          	2010	M06	        12.6	
LAUCN280410000000003          	2011	M06	        13.8	
LAUCN280410000000003          	2012	M06	        12.9	
LAUCN280410000000003          	2013	M06	        11.6	
LAUCN280410000000003          	2014	M06	         9.8	
LAUCN280410000000003          	2015	M06	         8.4	
LAUCN280410000000004          	2010	M06	         565	
LAUCN280410000000004          	2011	M06	         637	
LAUCN280410000000004          	2012	M06	         597	
LAUCN280410000000004          	2013	M06	         526	
LAUCN280410000000004          	2014	M06	         435	
LAUCN280410000000004          	2015	M06	         372	
LAUCN280410000000005          	2010	M06	        3921	
LAUCN280410000000005          	2011	M06	        3972	
LAUCN280410000000005          	2012	M06	        4017	
LAUCN280410000000005          	2013	M06	        3990	
LAUCN280410000000005          	2014	M06	        4018	
LAUCN280410000000005          	2015	M06	        4067	
LAUCN280410000000006          	2010	M06	        4486	
LAUCN280410000000006          	2011	M06	        4609	
LAUCN280410000000006          	2012	M06	        4614	
LAUCN280410000000006          	2013	M06	        4516	
LAUCN280410000000006          	2014	M06	        4453	
LAUCN280410000000006          	2015	M06	        4439	
LAUCN280430000000003          	2010	M06	        11.1	
LAUCN280430000000003          	2011	M06	        10.8	
LAUCN280430000000003          	2012	M06	         9.6	
